Node,Label,Community,degree,betweenness,closeness,eigenvector,core,Mito
n0,HOG0000344,0,0.006265664160401002,0.0006956878905084483,0.3121658625635676,0.00013448625497327493,11,False
n1,HOG0000713,1,0.005430242272347535,0.0013837590861651605,0.3106670127173631,3.996515111945227e-05,10,False
n2,HOG0000716,2,0.004177109440267335,4.5497940004563786e-05,0.3066871637202152,0.000273228163843742,10,False
n3,HOG0000738,3,0.005012531328320802,0.0004085677641602359,0.3131458469587966,0.002228640040423136,10,False
n4,HOG0000742,1,0.012531328320802004,0.0018205822041300241,0.32147173358399356,2.887934304803901e-05,20,False
n5,HOG0000851,4,0.02506265664160401,0.002471936531006012,0.3415121255349501,0.000944966628490148,26,False
n6,HOG0000865,1,0.002506265664160401,0.00011059049322134206,0.3201390746188821,0.00019308310691035512,6,False
n7,HOG0000955,5,0.0020885547201336674,0.0001000676188065102,0.2854417550971742,1.5019295368876784e-05,4,False
n8,HOG0000974,3,0.023809523809523808,0.0014928593544940236,0.3547192176618758,0.010567040608089705,36,False
n9,HOG0000999,0,0.03884711779448621,0.001025675126631697,0.34283259344121436,0.00517558284541245,42,False
n10,HOG0001020,1,0.008771929824561403,0.0015457039341097215,0.3192,0.0001759505223133658,12,False
n11,HOG0001039,1,0.05680868838763575,0.0047053689078942985,0.3534622766868448,0.0001319934114616129,45,False
n12,HOG0001223,0,0.03717627401837928,0.0010305814282365378,0.3456041576440017,0.0008891018354967544,50,False
n13,HOG0001226,2,0.004594820384294068,0.001568997919501615,0.3256256800870511,0.0024009993604227255,9,False
n14,HOG0001229,5,0.0029239766081871343,4.321522948152388e-05,0.2889908256880734,0.0001743050338236457,7,False
n15,HOG0001231,2,0.060568086883876354,0.00933934379819512,0.38072519083969464,0.02449749773066678,50,False
n16,HOG0001300,3,0.04302422723475355,0.0005633748462606274,0.3569937369519833,0.0399617815256319,67,False
n17,HOG0001321,1,0.04302422723475355,0.006378379358431237,0.370817843866171,0.0003140043740396971,43,False
n18,HOG0001416,0,0.04887218045112782,0.0008022722603939217,0.355456570155902,0.00169130563093598,50,False
n19,HOG0001417,3,0.006683375104427736,6.895014560160218e-05,0.311030271534364,0.0028169789708673496,14,False
n20,HOG0001529,0,0.05054302422723475,0.0005509457079079253,0.34887787816962984,0.0012382942364639645,50,False
n21,HOG0001532,0,0.043859649122807015,0.0008857216499908947,0.35190357195354993,0.0020583571331020257,46,False
