HOG0019877	GO:0010972
HOG0018783	GO:0032588
HOG0018806	GO:0004571,GO:1904380,GO:1904382
HOG0019942	GO:0004658,GO:0005739
HOG0021421	GO:0005777,GO:0008115,GO:0016491,GO:0033514,GO:0050031,GO:0050660
HOG0005932	GO:0005509,GO:0005783,GO:0005789,GO:0006457,GO:0036503,GO:0051082
HOG0020335	GO:0005634
HOG0018504	GO:0005739,GO:0005763
HOG0021152	GO:0005737,GO:0016607
HOG0021546	GO:0005811,GO:0005829,GO:0010890,GO:0019915
HOG0020612	GO:0005615
HOG0019934	GO:0001849,GO:0005615,GO:0006955,GO:0044793,GO:0045087
HOG0018898	GO:0000977,GO:0000981,GO:0006357
HOG0021119	GO:0001530,GO:0001875,GO:0031666,GO:0032497,GO:0034142,GO:0035662,GO:0045087,GO:0046696,GO:0071222
HOG0011068	GO:0000977,GO:0000981,GO:0005634,GO:0006357,GO:0051960
HOG0020266	GO:0004128,GO:0005737,GO:0005783,GO:0006801,GO:0020037
HOG0007043	GO:0031005,GO:0032432,GO:0048705,GO:0061181,GO:0061182,GO:0061572,GO:1900158
HOG0021770	GO:0022008,GO:0030182
HOG0008330	GO:0004862,GO:0005829,GO:0005952,GO:0030552,GO:0034236,GO:2000480
HOG0021343	GO:0004896,GO:0009897,GO:0016064,GO:0019221
HOG0006161	GO:0008083
HOG0021198	GO:0043022,GO:0045087,GO:0075523,GO:1990825
HOG0005325	GO:0004033,GO:0008076,GO:0015459,GO:0044224,GO:0044325,GO:0098900,GO:1901379
HOG0010057	GO:0016266,GO:0035252
HOG0009990	GO:0005737,GO:0005886,GO:0006897,GO:0016197,GO:0030132,GO:0045296
HOG0004860	GO:0000166,GO:0000287,GO:0005737,GO:0005829,GO:0008253,GO:0009117,GO:0046085
HOG0009956	GO:0004601,GO:0006979
HOG0019378	GO:0003723,GO:0005634,GO:0045892
HOG0017430	GO:0000978,GO:0000981,GO:0006357
HOG0019803	GO:0005096,GO:0005737,GO:0030833,GO:0051056,GO:0051497,GO:1904425
HOG0010145	GO:0005783,GO:0005793,GO:0007030
HOG0010454	GO:0000226,GO:0004674,GO:0005737,GO:0035556,GO:0050321
HOG0021103	GO:0004745,GO:0005829,GO:0016491,GO:0042572
HOG0020553	GO:0003723,GO:0005730,GO:0042274
HOG0018941	GO:0005747,GO:0006979
HOG0020469	GO:0009986
HOG0008895	GO:0016020
HOG0019427	GO:0004439,GO:0017124,GO:0046856,GO:0048471,GO:0048488,GO:0098793
HOG0009226	GO:0005085,GO:0005886,GO:0007264,GO:0007265
HOG0012542	GO:0005102,GO:0005615,GO:0007171,GO:0007399,GO:0030154,GO:0030296,GO:0035556,GO:0045499,GO:0048513
HOG0019633	GO:0005737,GO:0016323,GO:0031410,GO:0050769
HOG0021020	GO:0008625,GO:0043123
HOG0005673	GO:0005604,GO:0005615,GO:0008201,GO:0030198,GO:0050840
HOG0009177	GO:0004714,GO:0005886,GO:0007169,GO:0007275,GO:0033674,GO:0043235,GO:0045766
HOG0019832	GO:0004177,GO:0005737,GO:0008235,GO:0035551
HOG0010610	GO:0000978,GO:0000981,GO:0001654,GO:0005634,GO:0005667,GO:0006357
HOG0019628	GO:0007528,GO:0048786,GO:0050808
HOG0019632	GO:0005096,GO:0048205
HOG0020275	GO:0000226,GO:0000278,GO:0000922,GO:0000930,GO:0005815,GO:0007020,GO:0031122,GO:0043015,GO:0051011,GO:0051225,GO:0051321
HOG0020587	GO:0001508,GO:0005249,GO:0006813,GO:0008076,GO:0016020,GO:0071805
HOG0008730	GO:0005737,GO:0006412
HOG0005444	GO:0000245,GO:0004674,GO:0005634,GO:0005737,GO:0018105,GO:0035556,GO:0050684
HOG0003111	GO:0005200,GO:0005635,GO:0005652,GO:0006998,GO:0007097,GO:0031507,GO:0051664,GO:0090435
HOG0018809	GO:0000785,GO:0008157,GO:0072357
HOG0018049	GO:0005159,GO:0005615,GO:0008083,GO:0042104,GO:0043410,GO:0043539,GO:0045944,GO:0046628,GO:0051147,GO:1905564
HOG0010900	GO:0000978,GO:0000981,GO:0006357
HOG0001416	GO:0005886,GO:0015149,GO:0015749,GO:0016020,GO:0046323,GO:0055056,GO:0070837
HOG0005488	GO:0005886,GO:0015149,GO:0015749,GO:0016020,GO:0046323,GO:0055056,GO:0070837
HOG0009413	GO:0004714,GO:0005886,GO:0007169,GO:0007275,GO:0017147,GO:0033674,GO:0043235
HOG0010481	GO:0005546,GO:0005615,GO:0005737,GO:0007417,GO:0008154,GO:0015629,GO:0030031,GO:0051014,GO:0051015,GO:0051016
HOG0003660	GO:0004407,GO:0016575,GO:0040029
HOG0010651	GO:0005829,GO:0006511,GO:0031593
HOG0003214	GO:0003714,GO:0005634,GO:0005667,GO:0006355,GO:0090090
HOG0020726	GO:0003009,GO:1901387,GO:1903078
HOG0021806	GO:0000381,GO:0003730,GO:0005634,GO:0005829,GO:0010831,GO:0043484,GO:0048255
HOG0018676	GO:0000978,GO:0000981,GO:0003677,GO:0003700,GO:0005634,GO:0006357
HOG0019216	GO:0005634,GO:0005737,GO:0005794,GO:0038203,GO:0045202,GO:0048172
HOG0021769	GO:0005829,GO:0008168,GO:0009404,GO:0018872,GO:0030791,GO:0030792
HOG0021099	GO:0005787,GO:0006465,GO:0016020,GO:0045047
HOG0004259	GO:0004930,GO:0005886,GO:0043410,GO:0071880
HOG0019382	GO:0003743,GO:0005737,GO:0005739,GO:0006413
HOG0010349	GO:0008250,GO:0018279
HOG0005065	GO:0004674,GO:0005829,GO:0007200,GO:0035556
HOG0018784	GO:0010824,GO:0034451,GO:0035735,GO:0060271
HOG0010706	GO:0001517,GO:0006044,GO:0006790
HOG0019386	GO:0005634,GO:0006357
HOG0019657	GO:0004843,GO:0005737,GO:0006511,GO:0016579
HOG0006021	GO:0000122,GO:0000978,GO:0000981,GO:0006357,GO:0009790,GO:0030154
HOG0010345	GO:0005744,GO:0008320,GO:0030150
HOG0019718	GO:0007034
HOG0009460	GO:0005524,GO:0005635,GO:0005788,GO:0016887,GO:0019894,GO:0034504,GO:0071763
HOG0020177	GO:0000122,GO:0003714,GO:0005634,GO:0005737,GO:0007283,GO:0008134,GO:0008584,GO:0030325,GO:0043433
HOG0019740	GO:0005096,GO:0005737,GO:0051056
HOG0020777	GO:0005737,GO:0050700
HOG0021599	GO:0009249,GO:0033819
HOG0021054	GO:0003735,GO:0005762,GO:0006412
HOG0018949	GO:0002083,GO:0005743,GO:0006744,GO:0016740,GO:0016765
HOG0011210	GO:0000776,GO:0005634,GO:0007052,GO:0007059,GO:0043515,GO:0051382
HOG0021763	GO:0042007
HOG0006381	GO:0005634,GO:0005737,GO:0009408,GO:0042026,GO:0051082
HOG0005996	GO:0004993,GO:0005886,GO:0007187,GO:0007197,GO:0007268,GO:0016907,GO:0030425,GO:0030594,GO:0045202
HOG0010851	GO:0008253
HOG0020057	GO:0000973,GO:0005643,GO:0006406,GO:0006606,GO:0017056,GO:0031080
HOG0010211	GO:0005216,GO:0005262,GO:0005886,GO:0006811,GO:0016020,GO:0098703
HOG0019301	GO:0000387,GO:0015030,GO:0030619,GO:0030620
HOG0020614	GO:0001786,GO:0005516,GO:0005737,GO:0005886,GO:0014069,GO:0016198,GO:0031103,GO:0035727,GO:0042246,GO:1901981
HOG0018689	GO:0002183,GO:0005852
HOG0018947	GO:0005184,GO:0005576,GO:0043679
HOG0010269	GO:0005198,GO:0005923
HOG0020100	GO:0005634,GO:0005737,GO:0036503,GO:0060090
HOG0010227	GO:0035869,GO:1905515
HOG0020236	GO:0007528,GO:0019901,GO:0061098
HOG0005382	GO:0000015,GO:0000287,GO:0004634,GO:0006096
HOG0021561	GO:0001649,GO:0005615,GO:0005794,GO:0007165
HOG0021367	GO:0005750,GO:0006122,GO:0008121,GO:0016020
HOG0006663	GO:0004896,GO:0005886,GO:0019221
HOG0009741	GO:0000978,GO:0000981,GO:0005634,GO:0006355,GO:0006357,GO:0007548
HOG0019576	GO:0000974,GO:0071013,GO:0071014
HOG0008747	GO:0003682,GO:0005634,GO:0006338,GO:0031507,GO:0035098,GO:0042054,GO:0046976
HOG0018872	GO:0006699,GO:0008123,GO:0008395,GO:0042632,GO:0043231
HOG0002829	GO:0000122,GO:0000978,GO:0001228,GO:0005634,GO:0007420,GO:0030154,GO:0030182,GO:0045944
HOG0009782	GO:0016020
HOG0018918	GO:0000723,GO:0003684,GO:0006303,GO:0035312,GO:0036297
