Alignment_name	No_of_taxa	Alignment_length	Total_matrix_cells	Undetermined_characters	Missing_percent	No_variable_sites	Proportion_variable_sites	Parsimony_informative_sites	Proportion_parsimony_informative	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
HOG0000344	22	282	6204	163	2.627	170	0.603	33	0.117	78	391	200	414	233	317	494	337	673	325	84	245	333	234	374	584	322	226	42	135	0	0	0	0	0	0	163	0
HOG0000716	20	310	6200	137	2.21	182	0.587	105	0.339	449	261	169	123	510	196	156	519	231	858	219	258	218	73	168	549	437	344	37	288	0	0	0	2	0	0	135	0
HOG0000738	22	300	6600	0	0.0	186	0.62	89	0.297	455	269	150	154	379	281	159	411	222	996	215	184	241	234	267	592	583	464	65	279	0	0	0	0	0	0	0	0
HOG0000865	28	294	8232	0	0.0	108	0.367	78	0.265	632	311	240	187	619	277	265	768	222	1182	226	356	256	65	242	580	627	847	36	294	0	0	0	0	0	0	0	0
HOG0000955	19	770	14630	32	0.219	522	0.678	286	0.371	1005	104	1008	867	549	805	168	753	502	1681	127	750	919	590	665	1277	957	1226	99	546	0	0	0	0	0	0	32	0
HOG0000974	23	489	11247	685	6.091	400	0.818	320	0.654	577	191	493	599	816	660	344	677	735	1053	309	362	624	508	395	586	612	657	151	213	0	0	0	0	0	0	685	0
HOG0000999	27	223	6021	150	2.491	195	0.874	145	0.65	536	498	242	327	253	535	121	302	259	507	123	189	220	150	158	589	424	369	3	66	0	0	0	0	0	0	150	0
HOG0001223	25	428	10700	433	4.047	343	0.801	234	0.547	624	150	582	977	299	746	318	505	712	1157	176	618	149	655	589	666	355	550	50	389	0	0	0	0	0	0	433	0
HOG0001229	31	511	15841	1008	6.363	353	0.691	231	0.452	1066	2	674	1340	446	1412	96	754	1023	1455	364	892	230	718	893	1572	681	722	61	432	0	0	0	0	0	0	1008	0
HOG0001239	16	959	15344	665	4.334	280	0.292	61	0.064	871	399	775	845	593	1000	239	905	595	947	487	743	720	662	787	1244	973	1089	213	592	0	0	0	0	0	0	665	0
